nace,esize_class,gender,age_class,lpk,education,experience,target,xgb,grb,rf,lm,svr,tf
E,GT_250,M,50-59,p834,G2,6,4.52,4.9886928,5.183672465013981,4.9451584143687635,5.218411490915652,5.133017690274354,5.7955155
E,GT_250,F,30-39,p422,G3,1,4.11,4.5654006,4.446351822064201,4.5284996034411495,4.829338272012789,4.272625506091892,4.1461253
E,GT_250,F,30-39,p422,G3,0,5.69,4.628723,4.148150133075035,4.467111546724639,4.813304844058123,4.2004249832551075,4.0257764
E,GT_250,M,30-39,p311,G4,0,6.28,6.5350757,6.490327752536883,5.570825022916863,6.453594617171367,6.046887354996544,6.006901
E,GT_250,F,14-29,p421,G2,3,5.48,4.4144483,4.377632822180088,4.526254742261368,3.5044463985688195,4.867008414731156,3.96456
E,GT_250,M,60+,p313,G2,25,5.39,5.8838396,5.916078336852575,6.326142039246277,6.062203196346741,6.003084714532812,6.0445666
E,GT_250,F,14-29,p311,G3,2,4.37,5.44839,5.201301435264739,5.136371332208322,5.258531704165533,4.982880378283506,4.452783
E,GT_250,M,40-49,p741,G2,0,3.66,4.794835,4.759099244033206,4.609692289976045,4.943882307897553,4.272596271707923,4.4508715
E,GT_250,M,30-39,p251,G4,0,8.2,8.992159,10.570270366750618,10.49593054414047,10.91941087474174,10.126555856275317,11.090867
E,GT_250,F,50-59,p334,G2,23,5.18,4.8250327,5.010926382947589,5.039439470396324,4.395514657130186,4.9048350677974,4.286477
E,GT_250,F,50-59,p432,G2,8,4.97,4.4648113,4.440015434344558,4.638548026608078,4.424086378727561,4.969505891708048,4.237056
E,GT_250,M,30-39,p312,G4,2,4.81,7.0074005,6.860727768305414,6.610657202934209,6.874208645787086,6.76317891640052,7.192593
E,GT_250,F,30-39,p311,G4,10,5.46,5.6914477,6.086699332791715,5.222719845270588,6.172836457124628,4.8470278436153835,5.222269
E,GT_250,F,40-49,p422,G2,4,4.62,4.326531,4.410937689072606,4.577186984905873,4.188124717638695,4.01173227471612,4.1017075
E,GT_250,M,50-59,p432,G2,10,4.36,4.904912,5.224831279168674,4.938518638358034,4.897245674230288,4.973030022858652,4.615802
E,GT_250,F,30-39,p422,G3,1,3.66,4.5654006,4.446351822064201,4.5284996034411495,4.829338272012789,4.272625506091892,4.1461253
E,GT_250,M,60+,p722,G2,0,3.83,4.685505,4.9544277179836795,4.953340663647898,4.7272725451865,4.831313859548921,4.9306293
E,GT_250,M,60+,p312,G2,37,8.27,6.5104685,5.986975074224779,6.480069132895877,5.805025431810715,7.424292716672543,6.9767017
E,GT_250,M,40-49,p314,G2,2,3.67,4.1117435,5.632565369582235,5.796890831965433,3.5324390411542375,4.173083669830792,3.9214153
E,GT_250,F,50-59,p422,G2,13,4.48,4.264981,4.368892897551863,4.42151949518969,4.081250628451545,4.412543958145541,4.1152635
E,GT_250,M,50-59,p741,G2,35,4.22,5.647067,5.722897362168952,5.496480572970681,5.253877345531709,5.602484173568008,5.572809
E,GT_250,M,30-39,p311,G4,9,5.25,6.875788,7.318115373974988,6.8931018806023,6.597895468763358,6.645965169202636,6.4197226
E,GT_250,F,40-49,p132,G4,7,9.29,8.762219,9.189836828474176,8.752139171515854,7.620695025890861,8.677462070814332,8.206131
L,50_249,M,50-59,p334,G3,4,3.33,4.620851,4.986752023715424,5.085389080635639,4.813098970345378,3.942648486175692,4.620976
L,50_249,M,60+,p312,G3,3,3.33,4.9173512,6.7424522445766275,5.337476830779453,5.541015886112525,3.965356620013618,5.25332
L,50_249,F,30-39,p431,G3,4,3.17,4.3004503,4.306933354405849,4.561952650075575,4.517679792648903,3.5820626258300896,3.946999
L,50_249,M,60+,p741,G2,0,3.09,3.624692,3.8415255317387373,3.776868918791046,4.255028760242369,3.634897463747923,3.4902205
L,50_249,M,60+,p712,G2,4,3.09,3.6255171,3.59972322614429,3.8842896863713787,3.641102816865126,3.4019214042497286,4.1953874
J,1_49,M,14-29,p251,G3,3,7.21,9.394828,9.02174443313331,8.51615011818082,9.150842067458019,8.54141034426879,8.7751045
J,1_49,M,30-39,p251,G3,7,13.39,10.094382,9.639180770293972,11.104933151443962,9.518792177789788,11.24146344750962,10.412752
J,1_49,M,30-39,p133,G3,6,16.39,9.521602,7.923330270372104,7.276983009301794,10.144000983105773,6.967640698221122,8.719908
J,1_49,M,14-29,p251,G3,2,6.55,8.379334,9.02174443313331,7.884438174144636,9.134808639503353,8.512064568354475,8.701044
O,1_49,F,60+,p961,G2,0,2.19,2.547185,2.348378702177642,2.5227406652048967,1.1965425117229938,2.80297233197562,2.658658
O,1_49,F,60+,p263,G2,23,4.66,3.8120322,4.173823688828704,3.8498349928969917,3.5959133404691386,4.0471117493606155,4.147672
O,1_49,F,40-49,p412,G4,13,5.36,5.174527,4.353283551887658,4.209606629338367,3.728557060445389,4.9339285817091145,3.6931639
O,1_49,F,60+,p412,G2,14,4.41,3.7905369,2.96054183966728,3.176231727265503,2.292389005175765,3.9912550020327306,3.3115966
O,50_249,M,40-49,p541,G2,2,2.89,3.562142,3.4601371047209457,3.2694619722992675,3.745816041887687,3.462909805200186,3.6713393
O,50_249,M,50-59,p541,G2,2,2.96,3.337871,3.1131144207737846,3.104991672785771,3.494641101108546,3.4580025214664487,3.6312525
O,50_249,M,60+,p541,G2,2,2.87,3.2654686,3.014932354604897,3.089053505759822,3.2869976185447705,3.46293379759047,3.48066
O,50_249,M,50-59,p541,G3,2,2.87,3.3432906,3.435968966735277,3.1643250768506257,4.005803230181256,3.4825699686564917,4.3186927
O,50_249,M,40-49,p541,G2,2,2.85,3.562142,3.4601371047209457,3.2694619722992675,3.745816041887687,3.462909805200186,3.6713393
O,50_249,M,60+,p541,G2,2,2.85,3.2654686,3.014932354604897,3.089053505759822,3.2869976185447705,3.46293379759047,3.48066
O,50_249,M,40-49,p541,G2,2,2.85,3.562142,3.4601371047209457,3.2694619722992675,3.745816041887687,3.462909805200186,3.6713393
O,50_249,M,50-59,p541,G2,2,2.87,3.337871,3.1131144207737846,3.104991672785771,3.494641101108546,3.4580025214664487,3.6312525
O,50_249,M,60+,p541,G3,2,2.89,3.218871,3.3377869005663894,3.1414342939528646,3.79815974761748,3.4132326060248226,3.8434134
O,50_249,M,50-59,p541,G3,2,3.09,3.3432906,3.435968966735277,3.1643250768506257,4.005803230181256,3.4825699686564917,4.3186927
J,1_49,F,60+,p241,G2,28,2.17,3.3782983,3.0875326998649815,3.721483143320727,4.266897878595579,2.9714729694261357,3.6440918
J,1_49,M,40-49,p215,G2,12,2.48,4.8880496,5.244525581753086,5.297600157659028,5.234836482672209,4.255873170529634,4.507713
J,1_49,M,60+,p215,G4,28,2.5,3.5685282,4.230556230426222,4.6933154008109135,6.025935966485316,3.11289181029746,4.814864
J,1_49,F,50-59,p215,G2,15,2.48,3.3631456,4.423173504891262,4.8713263288039705,4.590669386163669,3.672030354512181,4.15685
C,1_49,M,40-49,p732,G2,1,7.19,3.7951467,3.574804218970829,3.7460795619090863,3.677671306976676,3.529800478643317,4.6189327
C,1_49,M,40-49,p216,G3,4,6.47,4.564615,4.823673036916491,4.867082834790564,4.607469087446259,4.524389574652795,4.139014
C,1_49,F,30-39,p216,G3,1,5.75,4.2209096,4.152703349249872,4.21769761574496,4.296428073154246,4.064615338973019,4.5090933
C,1_49,F,50-59,p112,G4,1,7.68,6.9929852,6.548832580248791,6.145293842265727,7.908355692327598,5.116263156895573,6.357499
C,1_49,M,14-29,p216,G3,7,6.12,4.556021,4.7732137453597625,4.6555265813082265,4.529904681962528,4.17102844093404,4.4615126
C,1_49,F,14-29,p243,G3,2,4.47,4.8821483,5.305736026237874,5.6418956363855095,5.0833069816500975,5.126984653323754,4.875008
C,1_49,M,40-49,p216,G3,1,7.91,4.884005,4.791735538160697,4.765136506419265,4.559368803582262,4.481860901135351,4.251956
C,1_49,F,30-39,p243,G3,11,5.75,5.6265464,5.428595352020537,5.21925016447374,5.531424231755196,5.567352797536754,5.0569763
C,1_49,F,30-39,p243,G4,11,8.59,6.0820904,5.799209899012454,5.303089329999061,6.013645162563859,5.7066569449751325,5.4687223
