nace,esize_class,gender,age_class,lpk,education,experience,target
G,1_49,M,14-29,243,G3,1,2.99
C,50_249,F,30-39,813,G3,1,5.26
C,50_249,F,40-49,818,G1,11,3.77
C,50_249,F,40-49,311,G2,11,5.15
C,50_249,F,60+,911,G1,44,2.4
C,50_249,F,50-59,818,G1,13,3.88
C,50_249,M,30-39,818,G2,4,6.88
C,50_249,F,60+,818,G1,5,4.74
C,50_249,F,50-59,314,G2,12,4.4
C,50_249,F,50-59,132,G2,31,11.2
C,50_249,F,50-59,818,G2,17,3.88
C,50_249,F,60+,213,G2,38,4.47
C,50_249,F,40-49,932,G2,2,3.58
C,50_249,M,30-39,132,G4,4,8.2
K,1_49,F,30-39,134,G3,8,6.85
K,1_49,F,60+,243,G4,14,4.75
K,1_49,F,60+,421,G2,13,4.21
K,1_49,F,40-49,242,G2,2,5.19
K,1_49,F,40-49,242,G2,10,4.37
K,1_49,F,40-49,241,G4,0,4.37
G,50_249,M,40-49,524,G2,0,3.6
G,50_249,F,40-49,524,G3,0,3.49
G,50_249,F,40-49,524,G3,3,4.63
G,50_249,F,40-49,524,G2,0,3.54
G,50_249,F,40-49,524,G2,0,3.54
G,50_249,F,30-39,524,G2,0,3.48
G,50_249,M,60+,832,G2,4,3.19
G,50_249,F,50-59,524,G2,3,3.41
G,50_249,M,40-49,524,G2,1,3.58
G,50_249,F,14-29,524,G3,2,3.58
G,50_249,M,50-59,832,G2,3,3.97
G,50_249,M,50-59,524,G2,2,5.32
C,1_49,M,50-59,132,G2,13,2.24
E,1_49,M,60+,933,G1,0,2.3
E,1_49,M,30-39,933,G1,7,2.3
E,1_49,M,50-59,933,G1,12,2.3
E,1_49,M,50-59,933,G1,14,2.3
C,GT_250,M,60+,711,G2,33,6.07
C,GT_250,M,30-39,215,G3,15,4.59
C,GT_250,M,50-59,834,G2,12,4.27
C,GT_250,F,50-59,311,G2,11,3.83
C,GT_250,M,40-49,741,G2,8,5.55
C,GT_250,M,30-39,332,G2,7,5.8
C,GT_250,M,50-59,214,G3,7,7.18
C,GT_250,M,50-59,834,G2,7,4.78
C,GT_250,M,30-39,741,G2,5,4.32
C,GT_250,M,40-49,834,G1,3,4.27
C,GT_250,M,40-49,741,G2,1,4.86
C,GT_250,F,14-29,311,G2,1,2.64
E,1_49,M,50-59,962,G1,0,2.37
E,1_49,M,60+,834,G1,18,2.6
E,1_49,M,40-49,818,G1,0,2.86
E,1_49,M,50-59,741,G2,14,2.77
G,50_249,M,40-49,522,G3,4,3.48
G,50_249,F,30-39,431,G3,4,3.78
G,50_249,F,40-49,522,G2,3,3.96
G,50_249,F,40-49,122,G3,13,5.54
G,50_249,F,40-49,522,G2,4,3.2
G,50_249,F,50-59,522,G2,9,3.41
G,50_249,M,14-29,522,G1,1,3.44
G,50_249,M,40-49,522,G3,1,4.51
G,50_249,M,14-29,522,G3,0,3.93
G,50_249,M,14-29,522,G2,1,3.54
G,50_249,M,50-59,962,G2,17,3.39
G,50_249,F,60+,431,G3,11,5.75
C,1_49,M,60+,112,G2,17,3.55
C,1_49,M,30-39,132,G4,15,5.68
C,1_49,M,50-59,721,G2,4,2.57
C,1_49,M,30-39,721,G1,1,2.46
C,1_49,M,40-49,721,G2,2,2.57
N,1_49,M,40-49,121,G2,13,2.19
N,1_49,F,14-29,332,G2,1,2.34
C,50_249,F,40-49,312,G2,12,6.17
C,50_249,M,30-39,214,G3,12,10.16
C,50_249,M,50-59,312,G2,10,6.23
C,50_249,M,30-39,214,G3,7,7.99
C,50_249,F,30-39,214,G3,5,5.42
C,50_249,M,14-29,214,G3,5,7.6
C,50_249,M,14-29,214,G3,3,6.84
C,50_249,F,40-49,752,G2,2,6.11
C,50_249,M,14-29,214,G3,2,9.97
C,50_249,M,14-29,752,G2,1,6.44
C,50_249,F,30-39,752,G2,1,4.53
C,50_249,M,14-29,214,G3,1,6.48
C,50_249,F,30-39,243,G3,0,5.38
C,50_249,M,14-29,752,G2,0,4.39
C,1_49,M,40-49,251,G3,1,7.66
C,1_49,M,60+,133,G4,26,5.0
C,1_49,M,30-39,251,G3,12,7.71
C,1_49,M,30-39,251,G3,15,8.2
C,1_49,F,40-49,132,G3,2,3.96
C,1_49,F,40-49,112,G3,18,8.37
C,1_49,M,40-49,214,G2,2,8.37
C,1_49,M,14-29,816,G2,1,4.37
C,1_49,F,30-39,334,G3,0,4.1
C,1_49,F,40-49,122,G3,1,9.71
C,1_49,F,60+,121,G3,5,12.23
C,50_249,M,30-39,814,G2,0,5.92
C,50_249,M,60+,933,G2,10,4.75
C,50_249,M,30-39,261,G3,6,6.91
C,50_249,M,14-29,834,G2,5,8.0
C,50_249,F,14-29,216,G3,2,6.83
C,50_249,M,14-29,834,G2,0,5.23
C,50_249,F,50-59,132,G4,18,7.72
B,1_49,M,50-59,833,G2,15,2.62
B,1_49,M,40-49,731,G2,1,2.4
B,1_49,M,50-59,731,G2,12,2.4
B,1_49,M,14-29,731,G2,0,2.4
Q,1_49,F,50-59,241,G3,11,6.64
Q,1_49,F,50-59,263,G2,6,3.67
Q,1_49,F,50-59,263,G2,27,2.39
Q,1_49,F,30-39,263,G4,6,4.19
Q,1_49,F,60+,263,G2,28,2.42
C,1_49,F,40-49,751,G2,12,2.78
C,1_49,F,50-59,911,G2,0,3.22
C,1_49,F,50-59,522,G2,0,3.08
C,1_49,M,40-49,833,G2,15,2.89
C,1_49,F,60+,751,G2,15,3.17
C,1_49,F,50-59,751,G2,15,3.17
C,1_49,M,40-49,833,G2,13,2.89
C,1_49,M,40-49,112,G4,16,9.84
